Timestamp,CPU_Usage,Net_In_Mbps,Net_Out_Mbps,PPS_In,PPS_Out,Active_Rooms,Total_Participants,Total_Tracks
15:36:02,27.23,.48,.53,541,1606,2,0,0
15:36:16,17.99,14.70,59.68,3958,9057,0,0,0
15:36:47,12.57,26.29,33.05,6188,5999,0,0,0
15:37:21,18.4,58.16,69.24,12034,10765,8,90,180
15:37:49,13.98,65.40,53.06,14269,9210,8,89,178
15:38:08,27.0,0,.01,12,14,8,65,130
15:38:22,15.48,.02,.01,41,25,8,0,0
15:38:36,12.66,.10,.20,48,41,0,0,0
15:38:50,17.59,.05,.02,31,40,0,0,0
15:39:03,15.48,.24,6.38,48,53,0,0,0
15:39:17,12.28,.01,.01,16,21,0,0,0
15:39:31,14.75,.08,.10,28,26,0,0,0
15:39:45,13.72,0,.01,13,15,0,0,0
15:39:59,17.78,.88,.17,372,676,0,0,0
15:40:13,28.32,.96,6.21,755,2481,2,0,0
15:40:27,20.28,23.03,70.06,5950,10074,0,0,0
15:41:02,23.56,30.80,36.54,7367,7269,8,82,164
15:41:36,14.43,45.16,71.98,11468,11474,8,85,170
15:42:06,13.95,72.39,69.35,16671,10750,7,77,154
15:42:27,15.17,.13,7.94,803,2070,12,83,166
15:42:43,16.39,39.62,77.89,9092,10583,8,95,190
15:43:07,14.94,84.99,97.51,21410,14862,0,0,0
15:43:51,17.10,1.21,6.27,813,2086,7,0,0
15:44:10,15.35,42.11,66.49,7239,10815,0,0,0
